일시,전력수요(MWh)
2025-01-01 01:00,62256
2025-01-01 02:00,59663
2025-01-01 03:00,57880
2025-01-01 04:00,57098
2025-01-01 05:00,56966
2025-01-01 06:00,57434
2025-01-01 07:00,57803
2025-01-01 08:00,57220
2025-01-01 09:00,57385
2025-01-01 10:00,57220
2025-01-01 11:00,57186
2025-01-01 12:00,55921
2025-01-01 13:00,53517
2025-01-01 14:00,52825
2025-01-01 15:00,52661
2025-01-01 16:00,53303
2025-01-01 17:00,55146
2025-01-01 18:00,57613
2025-01-01 19:00,58925
2025-01-01 20:00,58804
2025-01-01 21:00,58455
2025-01-01 22:00,58055
2025-01-01 23:00,59155
2025-01-02 00:00,59700
